Issue Type,Issue key,Issue id,Status Category,Status,Components,Components,Custom field (Start date),Sprint,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Dependency),Inward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Gantt End to Start),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Outward issue link (Relates),Due date,Fix versions
Story,CLP-1234,31337,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,
Story,CLP-1233,31333,To Do,New,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1231,31327,To Do,New,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1230,31324,To Do,New,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1229,31321,To Do,To Do,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1228,31318,To Do,To Do,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1227,31315,To Do,To Do,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1226,31312,To Do,To Do,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1219,31281,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-1218,31278,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-1217,31275,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-1216,31272,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-1206,31235,To Do,Ready for Development,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,CLP-1199,,,,,MarTech 1.0
